Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH8
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,DIGITAL
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-09,,Sample Interval,4.00000000e-09,,Sample Interval,4.00000000e-09
Record Length,16056,,Record Length,16056,,Record Length,16056
Zero Index,53.96000000,,Zero Index,53.96000000,,Zero Index,53.96000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,None
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,

TIME,CH1,CH2,CH8_D7,CH8_D6,CH8_D5,CH8_D4,CH8_D3,CH8_D2,CH8_D1,CH8_D0
1.60000000e-10,2.49875000e+00,7.74062500e-01,1,0,0,0,0,0,0,0
4.16000000e-09,3.13343750e+00,-1.90937500e-01,1,0,0,0,0,0,0,0
8.16000000e-09,3.14656250e+00,-7.18750000e-03,1,0,0,0,0,0,0,0
1.21600000e-08,2.35125000e+00,7.05937500e-01,1,0,0,0,0,0,0,0
1.61600000e-08,3.25531250e+00,8.53125000e-02,1,0,0,0,0,0,0,0
2.01600000e-08,2.78250000e+00,3.25437500e+00,1,0,0,0,0,0,0,0
2.41600000e-08,2.75906250e+00,3.41312500e+00,1,0,0,0,0,0,0,0
2.81600000e-08,3.09625000e+00,3.25531250e+00,1,0,0,0,0,0,0,0
3.21600000e-08,2.96375000e+00,2.82812500e+00,1,0,0,0,0,0,0,0
3.61600000e-08,2.61343750e+00,1.55875000e+00,0,0,0,1,0,0,0,0
4.01600000e-08,3.04656250e+00,-4.68750000e-03,0,0,0,1,0,0,0,0
4.41600000e-08,2.86781250e+00,-5.84375000e-02,0,0,0,1,0,0,0,0
4.81600000e-08,2.45281250e+00,5.69375000e-01,0,0,0,1,0,0,0,0
5.21600000e-08,2.97375000e+00,3.18750000e-01,0,0,0,1,0,0,0,0
5.61600000e-08,2.97625000e+00,2.83750000e+00,0,0,0,1,0,0,0,0
6.01600000e-08,2.56625000e+00,3.45875000e+00,0,0,0,1,0,0,0,0
6.41600000e-08,2.87562500e+00,3.48218750e+00,0,0,0,1,0,0,0,0
6.81600000e-08,3.14781250e+00,2.75375000e+00,0,0,0,1,0,0,0,0
7.21600000e-08,2.53843750e+00,3.17843750e+00,0,0,0,1,0,0,0,0
7.61600000e-08,-1.91875000e-01,1.87812500e-01,1,0,0,0,0,0,0,0
8.01600000e-08,-6.31250000e-02,-2.64375000e-01,1,0,0,0,0,0,0,0
8.41600000e-08,-4.30937500e-01,2.33125000e-01,1,0,0,0,0,0,0,0
8.81600000e-08,8.31250000e-02,5.01562500e-01,1,0,0,0,0,0,0,0
9.21600000e-08,3.57187500e-01,2.26281250e+00,1,0,0,0,0,0,0,0
9.61600000e-08,-3.16250000e-01,3.40906250e+00,1,0,0,0,0,0,0,0
1.00160000e-07,8.25000000e-02,3.31812500e+00,1,0,0,0,0,0,0,0
1.04160000e-07,3.65312500e-01,2.82843750e+00,1,0,0,0,0,0,0,0
1.08160000e-07,-1.34062500e-01,3.17375000e+00,1,0,0,0,0,0,0,0
1.12160000e-07,3.56250000e-02,1.12187500e-01,0,0,0,1,0,0,0,0
1.16160000e-07,1.49375000e-01,4.59375000e-02,0,0,0,1,0,0,0,0
1.20160000e-07,6.65625000e-02,-3.25000000e-02,0,0,0,1,0,0,0,0
1.24160000e-07,-1.02500000e-01,5.94687500e-01,0,0,0,1,0,0,0,0
1.28160000e-07,3.32187500e-01,7.35000000e-01,0,0,0,1,0,0,0,0
1.32160000e-07,-1.00312500e-01,3.31937500e+00,0,0,0,1,0,0,0,0
1.36160000e-07,8.68750000e-02,3.30000000e+00,0,0,0,1,0,0,0,0
1.40160000e-07,3.57500000e-01,2.98781250e+00,0,0,0,1,0,0,0,0
1.44160000e-07,2.68750000e-02,2.95343750e+00,0,0,0,1,0,0,0,0
1.48160000e-07,-2.87500000e-02,7.31562500e-01,1,0,0,0,0,0,0,0
1.52160000e-07,2.88125000e-01,-7.78125000e-02,1,0,0,0,0,0,0,0
1.56160000e-07,9.00000000e-02,-3.40625000e-02,1,0,0,0,0,0,0,0
1.60160000e-07,-2.49062500e-01,6.35937500e-01,1,0,0,0,0,0,0,0
1.64160000e-07,3.35937500e-01,1.63437500e-01,1,0,0,0,0,0,0,0
1.68160000e-07,1.75000000e-02,3.22343750e+00,1,0,0,0,0,0,0,0
1.72160000e-07,-8.53125000e-02,3.32375000e+00,1,0,0,0,0,0,0,0
1.76160000e-07,1.12500000e-01,3.35468750e+00,1,0,0,0,0,0,0,0
1.80160000e-07,1.35625000e-01,2.81312500e+00,1,0,0,0,0,0,0,0
1.84160000e-07,-1.67187500e-01,1.60531250e+00,0,0,0,1,0,0,0,0
1.88160000e-07,1.54062500e-01,-1.18750000e-02,0,0,0,1,0,0,0,0
1.92160000e-07,-1.56250000e-02,1.21875000e-02,0,0,0,1,0,0,0,0
1.96160000e-07,-3.55000000e-01,5.39375000e-01,0,0,0,1,0,0,0,0
2.00160000e-07,1.11562500e-01,3.17500000e-01,0,0,0,1,0,0,0,0
2.04160000e-07,7.18750000e-02,2.86281250e+00,0,0,0,1,0,0,0,0
2.08160000e-07,-2.47187500e-01,3.42843750e+00,0,0,0,1,0,0,0,0
2.12160000e-07,2.65625000e-02,3.49281250e+00,0,0,0,1,0,0,0,0
2.16160000e-07,2.52500000e-01,2.76093750e+00,0,0,0,1,0,0,0,0
2.20160000e-07,-2.92500000e-01,3.06281250e+00,0,0,0,1,0,0,0,0
2.24160000e-07,6.12500000e-02,2.87500000e-02,1,0,0,0,0,0,0,0
2.28160000e-07,1.25000000e-03,7.81250000e-02,1,0,0,0,0,0,0,0
2.32160000e-07,-2.33125000e-01,2.57500000e-01,1,0,0,0,0,0,0,0
2.36160000e-07,-1.96875000e-02,4.73750000e-01,1,0,0,0,0,0,0,0
2.40160000e-07,1.91250000e-01,2.08250000e+00,1,0,0,0,0,0,0,0
2.44160000e-07,-1.85312500e-01,3.42781250e+00,1,0,0,0,0,0,0,0
2.48160000e-07,8.06250000e-02,3.39125000e+00,1,0,0,0,0,0,0,0
2.52160000e-07,4.01250000e-01,2.78968750e+00,1,0,0,0,0,0,0,0
2.56160000e-07,-1.49062500e-01,3.13281250e+00,1,0,0,0,0,0,0,0
2.60160000e-07,2.18750000e-02,2.14062500e-01,0,0,0,1,0,0,0,0
2.64160000e-07,2.39687500e-01,1.96875000e-02,0,0,0,1,0,0,0,0
2.68160000e-07,3.78125000e-02,-6.71875000e-02,0,0,0,1,0,0,0,0
2.72160000e-07,-1.29375000e-01,5.95937500e-01,0,0,0,1,0,0,0,0
2.76160000e-07,3.80625000e-01,4.40000000e-01,0,0,0,1,0,0,0,0
2.80160000e-07,-6.37500000e-02,3.30312500e+00,0,0,0,1,0,0,0,0
2.84160000e-07,5.78125000e-02,3.30000000e+00,0,0,0,1,0,0,0,0
2.88160000e-07,3.35937500e-01,3.04843750e+00,0,0,0,1,0,0,0,0
2.92160000e-07,5.71875000e-02,2.94781250e+00,0,0,0,1,0,0,0,0
2.96160000e-07,-7.00000000e-02,8.16875000e-01,1,0,0,0,0,0,0,0
3.00160000e-07,2.68750000e-01,-9.81250000e-02,1,0,0,0,0,0,0,0
3.04160000e-07,5.62500000e-02,-2.93750000e-02,1,0,0,0,0,0,0,0
3.08160000e-07,-2.67500000e-01,6.50937500e-01,1,0,0,0,0,0,0,0
3.12160000e-07,3.20937500e-01,1.65937500e-01,1,0,0,0,0,0,0,0
3.16160000e-07,2.53125000e-02,3.23218750e+00,1,0,0,0,0,0,0,0
3.20160000e-07,-7.34375000e-02,3.32093750e+00,1,0,0,0,0,0,0,0
3.24160000e-07,1.15000000e-01,3.37000000e+00,1,0,0,0,0,0,0,0
3.28160000e-07,1.59062500e-01,2.80843750e+00,1,0,0,0,0,0,0,0
3.32160000e-07,-1.78437500e-01,1.67062500e+00,0,0,0,1,0,0,0,0
3.36160000e-07,1.55312500e-01,-1.46875000e-02,0,0,0,1,0,0,0,0
3.40160000e-07,-1.93750000e-02,5.62500000e-03,0,0,0,1,0,0,0,0
3.44160000e-07,-3.50000000e-01,5.55000000e-01,0,0,0,1,0,0,0,0
3.48160000e-07,8.87500000e-02,3.32812500e-01,0,0,0,1,0,0,0,0
3.52160000e-07,8.06250000e-02,2.77843750e+00,0,0,0,1,0,0,0,0
3.56160000e-07,-2.50312500e-01,3.43937500e+00,0,0,0,1,0,0,0,0
3.60160000e-07,6.25000000e-02,3.46500000e+00,0,0,0,1,0,0,0,0
3.64160000e-07,2.84687500e-01,2.76218750e+00,0,0,0,1,0,0,0,0
3.68160000e-07,-3.30625000e-01,3.23343750e+00,0,0,0,1,0,0,0,0
3.72160000e-07,5.50000000e-02,4.37500000e-02,1,0,0,0,0,0,0,0
3.76160000e-07,-3.75000000e-03,7.06250000e-02,1,0,0,0,0,0,0,0
3.80160000e-07,-1.59062500e-01,1.56562500e-01,1,0,0,0,0,0,0,0
3.84160000e-07,-4.25000000e-02,5.05000000e-01,1,0,0,0,0,0,0,0
3.88160000e-07,2.19062500e-01,1.93937500e+00,1,0,0,0,0,0,0,0
3.92160000e-07,-1.66562500e-01,3.40218750e+00,1,0,0,0,0,0,0,0
3.96160000e-07,7.28125000e-02,3.37343750e+00,1,0,0,0,0,0,0,0
4.00160000e-07,4.07812500e-01,2.78437500e+00,1,0,0,0,0,0,0,0
4.04160000e-07,-1.31562500e-01,3.09625000e+00,1,0,0,0,0,0,0,0
4.08160000e-07,9.06250000e-03,2.18750000e-01,0,0,0,1,0,0,0,0
4.12160000e-07,2.49375000e-01,1.34375000e-02,0,0,0,1,0,0,0,0
4.16160000e-07,5.78125000e-02,-8.15625000e-02,0,0,0,1,0,0,0,0
4.20160000e-07,-1.48750000e-01,6.05937500e-01,0,0,0,1,0,0,0,0
4.24160000e-07,3.62812500e-01,5.65000000e-01,0,0,0,1,0,0,0,0
4.28160000e-07,-7.00000000e-02,3.29312500e+00,0,0,0,1,0,0,0,0
4.32160000e-07,5.28125000e-02,3.29875000e+00,0,0,0,1,0,0,0,0
4.36160000e-07,3.45625000e-01,3.02250000e+00,0,0,0,1,0,0,0,0
4.40160000e-07,6.18750000e-02,2.92281250e+00,0,0,0,1,0,0,0,0
4.44160000e-07,-7.96875000e-02,8.93437500e-01,1,0,0,0,0,0,0,0
4.48160000e-07,2.82812500e-01,-9.56250000e-02,1,0,0,0,0,0,0,0
4.52160000e-07,3.78125000e-02,-1.09375000e-02,1,0,0,0,0,0,0,0
4.56160000e-07,-2.79062500e-01,6.38437500e-01,1,0,0,0,0,0,0,0
4.60160000e-07,3.09062500e-01,1.75625000e-01,1,0,0,0,0,0,0,0
4.64160000e-07,2.90625000e-02,3.19906250e+00,1,0,0,0,0,0,0,0
4.68160000e-07,-1.31562500e-01,3.34250000e+00,1,0,0,0,0,0,0,0
4.72160000e-07,1.04687500e-01,3.39156250e+00,1,0,0,0,0,0,0,0
4.76160000e-07,1.73437500e-01,2.79718750e+00,1,0,0,0,0,0,0,0
4.80160000e-07,-2.10000000e-01,2.11812500e+00,0,0,0,1,0,0,0,0
4.84160000e-07,1.92812500e-01,1.56250000e-02,0,0,0,1,0,0,0,0
4.88160000e-07,-3.31250000e-02,2.43750000e-02,0,0,0,1,0,0,0,0
4.92160000e-07,-3.63437500e-01,4.98750000e-01,0,0,0,1,0,0,0,0
4.96160000e-07,5.78125000e-02,3.67500000e-01,0,0,0,1,0,0,0,0
5.00160000e-07,1.12500000e-01,2.76312500e+00,0,0,0,1,0,0,0,0
5.04160000e-07,-2.34062500e-01,3.42093750e+00,0,0,0,1,0,0,0,0
5.08160000e-07,3.53125000e-02,3.48343750e+00,0,0,0,1,0,0,0,0
5.12160000e-07,2.90625000e-01,2.77625000e+00,0,0,0,1,0,0,0,0
5.16160000e-07,-3.08437500e-01,3.21937500e+00,0,0,0,1,0,0,0,0
5.20160000e-07,4.84375000e-02,4.18750000e-02,1,0,0,0,0,0,0,0
5.24160000e-07,6.87500000e-03,7.34375000e-02,1,0,0,0,0,0,0,0
5.28160000e-07,-1.78437500e-01,1.71562500e-01,1,0,0,0,0,0,0,0
5.32160000e-07,-4.87500000e-02,5.05312500e-01,1,0,0,0,0,0,0,0
5.36160000e-07,2.28437500e-01,2.00718750e+00,1,0,0,0,0,0,0,0
5.40160000e-07,-1.58437500e-01,3.38468750e+00,1,0,0,0,0,0,0,0
5.44160000e-07,6.12500000e-02,3.40000000e+00,1,0,0,0,0,0,0,0
5.48160000e-07,4.11562500e-01,2.77625000e+00,1,0,0,0,0,0,0,0
5.52160000e-07,-1.23750000e-01,3.10125000e+00,1,0,0,0,0,0,0,0
5.56160000e-07,-4.06250000e-03,2.71875000e-01,0,0,0,1,0,0,0,0
5.60160000e-07,2.52187500e-01,-9.06250000e-03,0,0,0,1,0,0,0,0
5.64160000e-07,6.09375000e-02,-1.01250000e-01,0,0,0,1,0,0,0,0
5.68160000e-07,-1.49062500e-01,5.92187500e-01,0,0,0,1,0,0,0,0
5.72160000e-07,4.00937500e-01,2.98750000e-01,0,0,0,1,0,0,0,0
5.76160000e-07,-7.65625000e-02,3.26968750e+00,0,0,0,1,0,0,0,0
5.80160000e-07,4.00000000e-02,3.28343750e+00,0,0,0,1,0,0,0,0
5.84160000e-07,3.19375000e-01,3.07468750e+00,0,0,0,1,0,0,0,0
5.88160000e-07,6.56250000e-02,2.91531250e+00,0,0,0,1,0,0,0,0
5.92160000e-07,-1.02500000e-01,1.00093750e+00,1,0,0,0,0,0,0,0
5.96160000e-07,2.39375000e-01,-9.65625000e-02,1,0,0,0,0,0,0,0
6.00160000e-07,4.43750000e-02,9.68750000e-03,1,0,0,0,0,0,0,0
6.04160000e-07,-3.12812500e-01,6.29375000e-01,1,0,0,0,0,0,0,0
6.08160000e-07,2.86562500e-01,2.01562500e-01,1,0,0,0,0,0,0,0
6.12160000e-07,2.03125000e-02,3.20875000e+00,1,0,0,0,0,0,0,0
6.16160000e-07,-1.37812500e-01,3.33875000e+00,1,0,0,0,0,0,0,0
6.20160000e-07,6.12500000e-02,3.41250000e+00,1,0,0,0,0,0,0,0
6.24160000e-07,1.60937500e-01,2.77531250e+00,1,0,0,0,0,0,0,0
6.28160000e-07,-2.10312500e-01,2.00500000e+00,0,0,0,1,0,0,0,0
6.32160000e-07,1.35625000e-01,-8.43750000e-03,0,0,0,1,0,0,0,0
6.36160000e-07,-1.65625000e-02,1.56250000e-02,0,0,0,1,0,0,0,0
6.40160000e-07,-3.69375000e-01,4.88750000e-01,0,0,0,1,0,0,0,0
6.44160000e-07,3.62500000e-02,3.75937500e-01,0,0,0,1,0,0,0,0
6.48160000e-07,1.12187500e-01,2.71281250e+00,0,0,0,1,0,0,0,0
6.52160000e-07,-2.60312500e-01,3.41843750e+00,0,0,0,1,0,0,0,0
6.56160000e-07,3.53125000e-02,3.46562500e+00,0,0,0,1,0,0,0,0
6.60160000e-07,3.00625000e-01,2.77000000e+00,0,0,0,1,0,0,0,0
6.64160000e-07,-3.14687500e-01,3.25375000e+00,0,0,0,1,0,0,0,0
6.68160000e-07,-1.25000000e-03,4.18750000e-02,1,0,0,0,0,0,0,0
6.72160000e-07,2.43750000e-02,6.68750000e-02,1,0,0,0,0,0,0,0
6.76160000e-07,-1.30000000e-01,8.03125000e-02,1,0,0,0,0,0,0,0
6.80160000e-07,-7.00000000e-02,5.42812500e-01,1,0,0,0,0,0,0,0
6.84160000e-07,2.57187500e-01,1.71500000e+00,1,0,0,0,0,0,0,0
6.88160000e-07,-1.80000000e-01,3.38656250e+00,1,0,0,0,0,0,0,0
6.92160000e-07,8.81250000e-02,3.38281250e+00,1,0,0,0,0,0,0,0
6.96160000e-07,4.08125000e-01,2.81468750e+00,1,0,0,0,0,0,0,0
7.00160000e-07,-9.15625000e-02,3.07812500e+00,1,0,0,0,0,0,0,0
7.04160000e-07,-1.15625000e-02,3.14062500e-01,0,0,0,1,0,0,0,0
7.08160000e-07,2.81875000e-01,-2.21875000e-02,0,0,0,1,0,0,0,0
7.12160000e-07,8.12500000e-02,-1.03750000e-01,0,0,0,1,0,0,0,0
7.16160000e-07,-1.71875000e-01,5.99687500e-01,0,0,0,1,0,0,0,0
7.20160000e-07,3.71250000e-01,2.90000000e-01,0,0,0,1,0,0,0,0
7.24160000e-07,-6.71875000e-02,3.27500000e+00,0,0,0,1,0,0,0,0
7.28160000e-07,3.87500000e-02,3.30250000e+00,0,0,0,1,0,0,0,0
7.32160000e-07,2.95000000e-01,3.09156250e+00,0,0,0,1,0,0,0,0
7.36160000e-07,7.43750000e-02,2.91281250e+00,0,0,0,1,0,0,0,0
7.40160000e-07,-1.04375000e-01,9.57187500e-01,1,0,0,0,0,0,0,0
7.44160000e-07,2.23750000e-01,-8.00000000e-02,1,0,0,0,0,0,0,0
7.48160000e-07,6.37500000e-02,-2.15625000e-02,1,0,0,0,0,0,0,0
7.52160000e-07,-3.09062500e-01,6.23125000e-01,1,0,0,0,0,0,0,0
7.56160000e-07,2.79062500e-01,1.94062500e-01,1,0,0,0,0,0,0,0
7.60160000e-07,3.28125000e-02,3.14625000e+00,1,0,0,0,0,0,0,0
7.64160000e-07,-1.99687500e-01,3.37625000e+00,1,0,0,0,0,0,0,0
7.68160000e-07,7.21875000e-02,3.41468750e+00,1,0,0,0,0,0,0,0
7.72160000e-07,1.80625000e-01,2.79843750e+00,1,0,0,0,0,0,0,0
7.76160000e-07,-2.30000000e-01,2.27250000e+00,0,0,0,1,0,0,0,0
7.80160000e-07,1.39687500e-01,2.25000000e-02,0,0,0,1,0,0,0,0
7.84160000e-07,-2.43750000e-02,3.59375000e-02,0,0,0,1,0,0,0,0
7.88160000e-07,-3.53750000e-01,4.47187500e-01,0,0,0,1,0,0,0,0
7.92160000e-07,2.25000000e-02,3.93750000e-01,0,0,0,1,0,0,0,0
7.96160000e-07,1.28125000e-01,2.54000000e+00,0,0,0,1,0,0,0,0
8.00160000e-07,-2.54062500e-01,3.47062500e+00,0,0,0,1,0,0,0,0
8.04160000e-07,5.62500000e-02,3.45031250e+00,0,0,0,1,0,0,0,0
8.08160000e-07,3.26250000e-01,2.76500000e+00,0,0,0,1,0,0,0,0
8.12160000e-07,-2.95625000e-01,3.23687500e+00,0,0,0,1,0,0,0,0
8.16160000e-07,5.00000000e-03,4.37500000e-02,1,0,0,0,0,0,0,0
8.20160000e-07,3.84375000e-02,6.18750000e-02,1,0,0,0,0,0,0,0
8.24160000e-07,-1.12812500e-01,7.50000000e-02,1,0,0,0,0,0,0,0
8.28160000e-07,-8.59375000e-02,5.25312500e-01,1,0,0,0,0,0,0,0
8.32160000e-07,2.34687500e-01,1.77156250e+00,1,0,0,0,0,0,0,0
8.36160000e-07,-1.52812500e-01,3.39125000e+00,1,0,0,0,0,0,0,0
8.40160000e-07,8.00000000e-02,3.37406250e+00,1,0,0,0,0,0,0,0
8.44160000e-07,4.14375000e-01,2.79593750e+00,1,0,0,0,0,0,0,0
8.48160000e-07,-8.37500000e-02,3.07031250e+00,1,0,0,0,0,0,0,0
8.52160000e-07,-2.43750000e-02,3.25312500e-01,0,0,0,1,0,0,0,0
8.56160000e-07,2.82812500e-01,-1.43750000e-02,0,0,0,1,0,0,0,0
8.60160000e-07,8.68750000e-02,-1.26875000e-01,0,0,0,1,0,0,0,0
8.64160000e-07,-1.70625000e-01,6.12187500e-01,0,0,0,1,0,0,0,0
8.68160000e-07,3.99687500e-01,1.66250000e-01,0,0,0,1,0,0,0,0
8.72160000e-07,-5.43750000e-02,3.26687500e+00,0,0,0,1,0,0,0,0
8.76160000e-07,2.84375000e-02,3.31000000e+00,0,0,0,1,0,0,0,0
8.80160000e-07,2.65937500e-01,3.13375000e+00,0,0,0,1,0,0,0,0
8.84160000e-07,7.81250000e-02,2.89875000e+00,0,0,0,1,0,0,0,0
8.88160000e-07,-1.23750000e-01,1.10562500e+00,1,0,0,0,0,0,0,0
8.92160000e-07,2.21250000e-01,-9.71875000e-02,1,0,0,0,0,0,0,0
8.96160000e-07,-7.18750000e-03,7.18750000e-03,1,0,0,0,0,0,0,0
9.00160000e-07,-3.26875000e-01,6.29062500e-01,1,0,0,0,0,0,0,0
9.04160000e-07,2.49062500e-01,2.18125000e-01,1,0,0,0,0,0,0,0
9.08160000e-07,3.43750000e-02,3.12250000e+00,1,0,0,0,0,0,0,0
9.12160000e-07,-2.15937500e-01,3.38625000e+00,1,0,0,0,0,0,0,0
9.16160000e-07,3.96875000e-02,3.45031250e+00,1,0,0,0,0,0,0,0
9.20160000e-07,1.87187500e-01,2.77656250e+00,1,0,0,0,0,0,0,0
9.24160000e-07,-2.37187500e-01,2.25406250e+00,0,0,0,1,0,0,0,0
9.28160000e-07,1.26875000e-01,3.81250000e-02,0,0,0,1,0,0,0,0
9.32160000e-07,-6.87500000e-03,3.00000000e-02,0,0,0,1,0,0,0,0
9.36160000e-07,-3.60312500e-01,4.62500000e-01,0,0,0,1,0,0,0,0
9.40160000e-07,1.84375000e-02,4.10312500e-01,0,0,0,1,0,0,0,0
9.44160000e-07,1.31875000e-01,2.58437500e+00,0,0,0,1,0,0,0,0
9.48160000e-07,-2.35625000e-01,3.46250000e+00,0,0,0,1,0,0,0,0
9.52160000e-07,5.12500000e-02,3.43968750e+00,0,0,0,1,0,0,0,0
9.56160000e-07,3.08750000e-01,2.77000000e+00,0,0,0,1,0,0,0,0
9.60160000e-07,-3.00625000e-01,3.24750000e+00,0,0,0,1,0,0,0,0
9.64160000e-07,6.25000000e-03,8.25000000e-02,1,0,0,0,0,0,0,0
9.68160000e-07,6.81250000e-02,4.00000000e-02,1,0,0,0,0,0,0,0
9.72160000e-07,-8.81250000e-02,4.18750000e-02,1,0,0,0,0,0,0,0
9.76160000e-07,-9.21875000e-02,5.64375000e-01,1,0,0,0,0,0,0,0
9.80160000e-07,2.57187500e-01,1.42968750e+00,1,0,0,0,0,0,0,0
9.84160000e-07,-1.55312500e-01,3.37718750e+00,1,0,0,0,0,0,0,0
9.88160000e-07,8.09375000e-02,3.34437500e+00,1,0,0,0,0,0,0,0
9.92160000e-07,4.10000000e-01,2.85000000e+00,1,0,0,0,0,0,0,0
9.96160000e-07,-4.53125000e-02,3.02968750e+00,1,0,0,0,0,0,0,0
